"","AustraliaPost","CanadaPost","DHL","FedEx","OnTrac","UnitedStatesPostalService","UPS","Purolator"
"ApacheOFBiz","No","No","Yes","Yes","No","Yes","Yes","No"
"BigCommerce","Yes","Yes","No","Yes","No","Yes","Yes","No"
"KonaKart","No","No","No","Yes","No","Yes","Yes","No"
"Magento","No","Yes","Yes","Yes","No","Yes","Yes","Yes"
"nopCommerce","Yes","Yes","No","Yes","No","Yes","Yes","No"
"osCommerce","No","No","No","No","No","No","No","No"
"PrestaShop","Yes","Yes","No","Yes","No","Yes","Yes","Yes"
"Shopify","No","add-on","No","No","No","Yes","Yes","No"
"WooCommerce","No","Yes","No","No","No","Yes","No","No"
"ZenCart","add-on","add-on","add-on","add-on","Yes","add-on","Yes","Yes"
"","AustraliaPost","CanadaPost","DHL","FedEx","OnTrac","UnitedStatesPostalService","UPS","Purolator"
