"Level","Sensor","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018","2018","2018","2019","2019","2019","2019","2020","2020","2020","2020"
"Level","Sensor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Professional","Fullframe","","","","","","","","","","","","","","","","","","","","?900","?900","?900","?900","?900","?900","?900","?900","?900","?900","?900","?900","?900","","","","?99","?99","?99","?99","?99","?99","?99","?99","?99","?99","?99","?99","?99","?99","?99","?99","?99II","?99II","?99II","?99II","?99II","?99II","?99II","?99II","?99II","?99II","?99II","?99II","?99II","?99II","?99II","",""
"Professional","","","","Fullframe","","","","","","","","","","","","","","","","","","","","?850","?850","?850","?850","?850","?850","","","?850","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"High-end","APS-C","","","DG-7D","DG-7D","DG-7D","DG-7D","DG-7D","DG-7D","DG-7D","","","","","","?700","?700","?700","?700","?700","?700","?700","?700","","","","","","","","","?77","?77","?77","?77","?77","?77","?77","?77","?77","?77","?77","?77II","?77II","?77II","?77II","?77II","?77II","?77II","?77II","?77II","?77II","?77II","?77II","?77II","?77II","?77II","?77II","?77II","?77II","?77II","?77II","?77II","?77II","?77II","?77II","?77II","",""
"Midrange","APS-C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","?65","?65","?65","?65","?65","?65","?65","?65","?65","?65","?65","?65","","","","","","","?68","?68","?68","?68","?68","?68","?68","?68","?68","?68","?68","?68","?68","?68","?68","?68","?68","?68","",""
"Upper-entry","APS-C","","","","","","","","","","","","","","","","","","","","","","","","","","","?55","?55","?55","?55","?55","?55","?55","?57","?57","?57","?57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Upper-entry","","","","","","","","APS-C","","","?100","?100","?100","?100","?100","?100","","","","?100","","","?550","?550","?550","","?580","?580","?580","?580","?580","?580","?550","","","?580","","","?58","?58","?58","?58","?58","?58","?58","?58","?58","?58","?58","?58","?58","?58","?58","","","?58","","","","","","","","","","","","",""
"Upper-entry","","","","","","APS-C","DG-5D","DG-5D","","","","DG-5D","","","","","","","","","","","?500","?500","?500","","?560","?560","?560","?500","","?560","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Upper-entry","","","","","","","","APS-C","","","","","","","","","","","","","","","","","?450","?450","?450","","","","","?450","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entry-level","APS-C","","","","","","","","","","","","","","","","","","","","","","","","","","","?33","?33","?33","?33","?35","?35","?35","?35","?37","?37","?37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entry-level","","","","","","","","APS-C","","","","","","","","","?350","?350","?350","?350","","?380","?380","?380","?350","?390","?390","?390","?390","?380","","?390","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entry-level","","","","","","","","APS-C","","","","","","","","","?300","?300","?300","?300","","?330","?330","?330","?300","","","?330","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
